"Metric Subcategory ID","Category","Subcategory","Description","Keywords","# Protocols","Subcategory Foci","Most Recent Commenter","Count of Comments/Replies"
"467","Amphibians","Mortality: Amphibians","A measure of the number of amphibian individuals in a population that die at a specific life stage.","frogs, salamanders, newts, herptiles, death, demography, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"474","Amphibians","Mortality Rate: Amphibians","A measure of the number of amphibian individuals in a population that die per unit of time.","frogs, salamanders, newts, herptiles, death, demography, population viability analysis, PVA, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"485","Amphibians","Sex Type: Amphibians","The gender (male or female).","frogs, salamanders, newts, herptiles, demography, hermaphrodite, determination, count, survivorship, recruit, generation, mortality, demography, population viability analysis, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"491","Amphibians","Survival: Amphibians","A measure of the number of amphibian individuals of a population that remain alive at a specific life stage or range.","frogs, salamanders, newts, herptiles, count, survivorship, recruit, generation, mortality, demography, population viability analysis, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"497","Amphibians","Survival Rate: Amphibians","A measure of the number of amphibian individuals in a population that remain alive at a specific life stage or range, per unit time.","frogs, salamanders, newts, herptiles, count, survivorship, recruit, generation, mortality, demography, population viability analysis, PVA, eggs, tadpoles, larvae, adults","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"498","Birds","Survival Rate: Birds","A measure of the number of avian individuals in a population that remain alive at a specific life stage or range, per unit time.","count, survivorship, eggs, fledglings, immatures, adults, juveniles, recruits, demography, population viability analysis, PVA, mortality","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"492","Birds","Survival: Birds","A measure of the number of avian individuals of a population that remain alive at a specific life stage or range.","count, eggs, fledglings, immatures, adults, juveniles, demography, recruits, survivorship, population viability analysis, PVA, mortality","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"486","Birds","Sex Type: Birds","The gender (male or female).","avian, demography, eggs, fledglings, immatures, adults, juveniles","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"475","Birds","Mortality Rate: Birds","A measure of the number of avian individuals in a population that die per unit of time.","deaths, turbines, wind turbines, demography, population viability analysis, PVA, eggs, fledglings, immatures, adults, juveniles","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"468","Birds","Mortality: Birds","A measure of the number of avian individuals in a population that die at a specific life stage.","deaths, eggs, fledglings, immatures, adults, juveniles, demography, turbines, wind turbines","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"462","Birds","Mark/Tag Recovery: Birds","The act of recovering a mark or tag on an avian species. ","bands, leg bands, banding, ringing, weighing bags, mark-recapture, PIT, recapture","2",,"&lt;none&gt;","0 comments, 0 replies"
"452","Birds","Weight: Birds","Measurement of the mass of birds, as individuals or of all species sampled in total.","avian, biomass, beam scale, spring scale, electronic scale, Pesola scale, biometrics, weighing bags","0",,"&lt;none&gt;","0 comments, 0 replies"
"442","Birds","Disease/Parasite Concentration: Birds","The percentage of an avian species or particular life stage infected by a parasite, disease, or virus.","pathogen, infection, rate, virulence, viral, bacteria, bird flu, Salmonella, number, count, eggs, fledglings, immatures, adults, juveniles","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"435","Birds","Tissue Sample: Birds","The collection of a tissue or cells from avian species for analysis.","preservation, blood, genetics, DNA, aging, bones, muscles, digestive, skin, feathers, molecular","0",,"&lt;none&gt;","0 comments, 0 replies"
"429","Birds","Timing of Life Stage: Birds","The time period an avian species life stage is present.","days, months, years, demography, eggs, fledglings, immatures, adults, juveniles, generations","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"424","Birds","Productivity: Birds","The productivity of a species within or between generations.","avian, demography, reproduction, production, fecundity, predation, nest predation, nesting success, predation rate, eggs, fledglings, immatures, adults, juveniles","1","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"413","Birds","Index of Biotic Integrity: Birds","The Index of Biotic Integrity (IBI) for avian species evaluates observed attributes to a relative standard.","multi-metric, multimetric, metrics, reference condition, biological indicators","2",,"&lt;none&gt;","0 comments, 0 replies"
"409","Birds","Sex Ratio: Birds","The ratio of males to females within the species aggregate.","avian, gender, demography","0",,"&lt;none&gt;","0 comments, 0 replies"
"403","Birds","Prey Indices: Birds","Rating of abundance of prey species.","avian, food, diet, stomach contents, stable isotopes, fecal samples, pellets","0",,"&lt;none&gt;","0 comments, 0 replies"
"398","Birds","Prey Availability for Bird Species","Type and energy content of prey items.","avian, number, count, predation, kCal, diet, mass, bioenergetics, calories, stomach contents, stable isotopes, fecal samples, pellets, food","0",,"&lt;none&gt;","0 comments, 0 replies"
"392","Birds","Presence/Absence: Birds","Identification of avian species presence or absence in an area of observation.","occurrence, present, absent, distribution, surveys, estimates, sampling, netting, mist netting, call, birdsong","1",,"&lt;none&gt;","0 comments, 0 replies"
"386","Birds","Migration Pathways: Birds","Characterizes the area or length of corridors by habitat type, where avian species life stages predominately are found migrating from place of origin.","eggs, fledglings, immatures, adults, juveniles, movement, barriers, radio, telemetry, PIT, transmitter","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"380","Birds","Mark Type and Quantity:  Birds","The act of placing a mark or tag on an avian species by quantity and tag type.","avian, bands, banding, leg bands, ringing, mark-recapture, recapture, PIT","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"355","Birds","Length:  Bird Species","The length of an avian species at a specified life stage.","callipers, rulers, stopped wing rulers, biometrics, eggs, fledglings, immatures, adults, juveniles, tarsus, wing, bill, culmen, tail, measurement","0",,"&lt;none&gt;","0 comments, 0 replies"
"361","Birds","Abundance of Invasive Bird Species","The number (count) of individual birds by species within a particular life stage that are present within a specified area that are not native or have expanded their presence beyond normal conditions within a specified area.","avian, alien, non-indigenous, exotic, non-native, introduced, nonnative, eggs, fledglings, immatures, adults, juveniles, distribution, surveys, estimates, sampling, netting, mist netting, population size, call, birdsong, transects","2","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"344","Birds","Growth Rate:  Birds","The length or amount of weight gained or lost on an avian individual or species life stage per unit time.","mass, change, bioenergetics, bio-energetics, metabolism, daily average, metabolic, biomass, beam scale, spring scale, electronic scale, Pesola scale, biometrics, weighing bags","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"508","Birds","Nests/Mating:  Birds","Measurements of numbers of nests or of mating pairs.","avian, count, reproduction, nesting","2",,"&lt;none&gt;","0 comments, 0 replies"
"338","Birds","Genetics:  Avian Diversity, Fitness, or Variation","Genetic characterization (via DNA microsatellites) describes lineage and within- and between-population genetic variability.","genotyping, GSI, birds, biodiversity, alleles, PCR, loci, sequencing, intraspecific, interspecific","0",,"&lt;none&gt;","0 comments, 0 replies"
"332","Birds","Foraging Success:  Birds","Index of food consumption habits of avian species.","prey, composition, competition, capture, stomach contents, diet, fecal samples, stable isotopes","0",,"&lt;none&gt;","0 comments, 0 replies"
"327","Birds","Food Web Interaction:  Birds","Bird species' diet and prey species composition and abundance as an indicator of trophic and food web relationships.","competition, intraspecific, interspecific, capture, avian, stomach, stable isotopes, prey, fecal samples, pellets, predation","0",,"&lt;none&gt;","0 comments, 0 replies"
"322","Birds","Fecundity:  Birds","Fecundity is the number of eggs produced by a mature adult female.  ","avian, productivity, age, size, offspring, reproduction, egg-laying, demography, count, population viability analysis, PVA","1",,"&lt;none&gt;","0 comments, 0 replies"
"316","Birds","ELISA Values: Birds","Enzyme-Linked-Immunosorbent Serologic Assay: An assay that relies on an enzymatic conversion reaction and is used to detect the presence of specific substances (such as enzymes, viruses, antibodies, or bacteria).","avian, BKD, incidence, enzyme, immunosorbent","0",,"&lt;none&gt;","0 comments, 0 replies"
"310","Birds","Diversity of Birds: Change","Change in life history or genetic diversity of individual avian species by changes in abundance of specific species.","biodiversity","0",,"&lt;none&gt;","0 comments, 0 replies"
"303","Birds","Distribution of Bird Species","Spatial arrangement of avian species or life stage within a population’s range by habitat. Distribution also captures the geographic range of individuals within a specified area, e.g., watershed or basin.","eggs, fledglings, immatures, adults, juveniles, migrants, clumped, random, even, GIS","1",,"&lt;none&gt;","0 comments, 0 replies"
"292","Birds","Density of Bird Species","The abundance of a single avian species type in a specified unit of area.","concentration, distribution, number, count, surveys, estimates, sampling, netting, mist netting, population size, call, birdsong, transects","2",,"&lt;none&gt;","0 comments, 0 replies"
"297","Birds","Diet: Birds","The identification of food consumed by birds by type and/or mass.","avian, stomach, stable isotopes, prey, fecal samples, pellets","1",,"&lt;none&gt;","0 comments, 0 replies"
"284","Birds","Condition of Life Stage:  Birds","The condition (or well-being) of an avian species at a particular life stage; may be based upon an index of multiple metrics, from size, length, stress, disease, parasites, toxins, or other variables.","molt, moult, brood patch, morphs, eggs, fledglings, immatures, adults, juveniles, factor, weight, mass","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"278","Birds","Composition: Bird Species Assemblage","Avian species density or diversity.","count, number, occurrence, morphs, hybrids, subspecies, races, eggs, fledglings, immatures, adults, juveniles, biodiversity, richness, communities","1","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"280","Birds","Predation Rate: Birds","The amount of predation on an avian species as a whole or on a particular life stage.","predators, prey, mortality, number, count, eggs, fledglings, immatures, adults, juveniles","0","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"272","Birds","Carrying Capacity:  Birds","The population size of the bird species that the environment can sustain in the long term, given the food, habitat, water, and other necessities available in the environment.","K, number, abundance, count, intrinsic potential, avian, equilibrium","0",,"&lt;none&gt;","0 comments, 0 replies"
"268","Birds","Body Temperature:  Birds","Measurement of avian body temperature in Celsius or Fahrenheit.","biometrics, thermometer, infrared, thermistor","0",,"&lt;none&gt;","0 comments, 0 replies"
"258","Birds","Age Structure:  Birds","Age composition of the bird species used to represent a proportion for a specific life stage. ","avian, absolute, cohort, generation, years, eggs, fledglings, immatures, adults, juveniles, molt, moult","1","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"252","Birds","Age:  Birds","The length of time that an avian species in a particular life stage has existed or the total duration of life, usually represented in years.","absolute, eggs, fledglings, immatures, adults, juveniles, molt, moult","1","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"165","Birds","Species Type: Birds","The type of individual bird species observed, where species may range from species to a specific race.","avian, subspecies, monotypic, hybrids, identification","0",,"&lt;none&gt;","0 comments, 0 replies"
"166","Birds","Habitat Use","The identification of type of habitat inhabited or used by birds.","avian","2",,"&lt;none&gt;","0 comments, 0 replies"
"2","Birds","Abundance of Birds","The number (count) of bird species or species within a particular life stage that are present within a specified area.","count, population, population size, eggs, fledglings, immatures, adults, juveniles, distribution, surveys, estimates, sampling, netting, mist netting, call, birdsong","27","Species Life Stage","&lt;none&gt;","0 comments, 0 replies"
"33","Classification of Ecological or Geological Attribute ","Habitat Quality","The relative quality or state of a specified habitat type.","ecological, function, condition, status, diversity, complexity, Index of Biotic Integrity, IBI, connectivity, availability, altered, banks, beach, channels, cliffs, delta, dune, floodplain, gravel, islands, kelp, lagoon, lakes, ponds, reservoirs, overhanging vegetation, pools, riffles, riparian, rivers, streams, runs, glides, marine, seeps, springs, shoreline, alpine, submerged aquatic vegetation, sea grass, terrestrial, tidal, tide pools, wetlands, marshes, wet meadows, bogs, swamps, estuarine, marine, freshwater, watershed, saltwater, pelagic","34","Habitat Type","&lt;none&gt;","0 comments, 0 replies"
"34","Classification of Ecological or Geological Attribute ","Land Ownership","Land ownership describes the surface ownership status of land. That is, it delineates the portions of the land (in area) owned by federal, state, county, tribal, and private entities.","public, government, cadastral, non-profit, conservation, GIS, mapping, boundaries
","8",,"&lt;none&gt;","0 comments, 0 replies"
"35","Classification of Ecological or Geological Attribute ","Land Use","Land use delineates the portions of the basin that are subject to specific land use functions, such as urban, agriculture, rangeland, forest, wetlands, etc.","anthropogenic, activity, grazing, landscape, land cover, deforestation, salinization, farmland, planning, irrigation, roads, infrastructure, altered","14",,"&lt;none&gt;","0 comments, 0 replies"
"31","Classification of Ecological or Geological Attribute ","Form/Morphology","A specific classification and rating of habitat types.","stream, order, incision, valley, type, width, bottom, gradient, channel, roughness, confinement, constrainment, form, morphology, dimensions, Rosgen, longitudinal, plan view, morphology, slope, width:depth, sinuosity, entrenchment, landform, altered, banks, beach, channels, cliffs, delta, dune, floodplain, gravel, islands, kelp, lagoon, lakes, ponds, reservoirs, overhanging vegetation, pools, riffles, riparian, rivers, streams, runs, glides, marine, seeps, springs, shoreline, alpine, submerged aquatic vegetation, sea grass, terrestrial, tidal, tide pools, wetlands, marshes, wet meadows, bogs, swamps, estuarine, marine, freshwater, watershed, saltwater, pelagic; remove morphology, form, width, bottom, cross-section","72","Habitat Type","&lt;none&gt;","0 comments, 0 replies"
"192","Classification of Ecological or Geological Attribute ","Habitat Type","The classification of habitat types.","ecosystem, unit, mapping, Rosgen, morphology, slope, width:depth, sinuosity, landform, altered, banks, beach, channels, cliffs, delta, dune, floodplain, gravel, islands, kelp, lagoon, lakes, ponds, reservoirs, overhanging vegetation, pools, riffles, riparian, rivers, streams, runs, glides, marine, seeps, springs, shoreline, alpine, submerged aquatic vegetation, sea grass, terrestrial, tidal, tide pools, wetlands, marshes, wet meadows, bogs, swamps, estuarine, marine, freshwater, watershed, saltwater, pelagic","83",,"&lt;none&gt;","0 comments, 0 replies"
"460","Classification of Ecological or Geological Attribute ","Hydraulic Code","The classification of hydrologic units.","HUC, watershed, order, Strahler, Shreve, catchment, drainage basin","3",,"&lt;none&gt;","0 comments, 0 replies"
"167","Climate/Weather","Convection","A measure of transport of heat and moisture by movement of a fluid or gas in water or the atmosphere.","Heat transfer, mass","0",,"&lt;none&gt;","0 comments, 0 replies"
"168","Climate/Weather","Evaporation","The study of water converted into vapor over a specified area over a specified time.","surface, eddy covariance instrument","0",,"&lt;none&gt;","0 comments, 0 replies"
"169","Climate/Weather","Evapotranspiration","The sum of evaporation and plant transpiration from the earth's land surface to the atmosphere.","ET, stoma, weighing lysimeter, catchment water balance, pan evaporation, Penman equation, Penman-Monteith, Blaney-Criddle, eddy covariance instrument","0",,"&lt;none&gt;","0 comments, 0 replies"
"170","Climate/Weather","Long Wave Radiation","Measurement of wavelength greater than 4 microns.","infrared thermometers, pyrgeometers","0",,"&lt;none&gt;","0 comments, 0 replies"
"171","Climate/Weather","Short Wave Radiation","Measurement of wavelength less than 4 microns.","pyranometers","0",,"&lt;none&gt;","0 comments, 0 replies"
"172","Climate/Weather","Solar Radiation","Measurement of wavelength in microns if radiation emitted from the sun.","pyranometers, sunshine recorders, pyrheliometers, sensors, radiometers","6",,"&lt;none&gt;","0 comments, 0 replies"
"265","Climate/Weather","Atmospheric Condition Index","Composite index of various climate or weather metrics or indicators.","temperature, humidity, pressure, wind, clouds, precipitation","2",,"&lt;none&gt;","0 comments, 0 replies"
"3","Climate/Weather","Air Temperature","A measure that expresses the temporal and spatial dynamics of the thermal energy content of the air (degrees Fahrenheit or Celsius).","thermocouples, thermistors, sensors, RTDs, loggers, weather stations","25",,"&lt;none&gt;","0 comments, 0 replies"
"4","Climate/Weather","Glacier Mass Balance","The difference between accumulation and ablation (melting and sublimation).","climate change, equilibrium, snowpack, probes, snowpits, stratigraphy, geodetic, GPS, altimeter, stakes","0",,"&lt;none&gt;","0 comments, 0 replies"
"5","Climate/Weather","Precipitation","The amount of precipitation over a specified area over a specified time.","rainfall, rain-fall, rain, snow-fall, snow, rain gauges, SNOTEL","5",,"&lt;none&gt;","0 comments, 0 replies"
"6","Climate/Weather","Snowpack","Snowpack measurement in depth or volume.","snow pack, snow-pack, probes, snowpits, accumulation, gauge, stakes","0",,"&lt;none&gt;","0 comments, 0 replies"
"7","Climate/Weather","Wind Stress","The drag or tangential directionality of force per unit area exerted on the atmosphere by the adjacent layer of moving air.","directionality, shear stress, oceanography, air-sea, fluid dynamics, water surface, speed","0",,"&lt;none&gt;","0 comments, 0 replies"
"8","Climate/Weather","Wind Velocity","The speed of a layer of moving air.","flow, anemometers, Beaufort, atmospheric pressure, knots, m/s, direction, weather stations","3",,"&lt;none&gt;","0 comments, 0 replies"
"9","Contaminants/Toxics/Pollutants","Body Burden: Tissue","The total amount of a chemical, metal or radioactive substance present at any time after absorption in the body of man or animal.","load, bioaccumulation, toxins, toxics, radiation, organochlorides, PCBs, PBDEs, pharmaceuticals, pesticides, herbicides, heavy, cadmium, mercury, lead, silver, copper, organics, oil, biological, contaminant, red tide, bacteria, endocrine disrupters, drugs, E. coli","1",,"&lt;none&gt;","0 comments, 0 replies"
"10","Contaminants/Toxics/Pollutants","Concentration: Air Particulates","The concentration of inhalable particulates in air (measured as PM2.5 levels).","carbon, dioxide, CO2, lead, CFCs, quality, point, non-point, TMDL, total maximum daily load, pollution, poisoning, toxins, MCL, maximum contaminant level, contaminant, EPA","0",,"&lt;none&gt;","0 comments, 0 replies"
"11","Contaminants/Toxics/Pollutants","Concentration: Bacteria","The concentration of bacteria, such as fecal coliform, in a sample.","coliform, animal, waste,  E. Coli, e, coli, point, non-point, TMDL, total maximum daily load, pollution, poisoning, toxins, MCL, maximum contaminant level, contaminant, EPA","4",,"&lt;none&gt;","0 comments, 0 replies"
"12","Contaminants/Toxics/Pollutants","Concentration: Sediments","Sediment sample to determine the concentration of chemical contamination.","pharmaceutical, toxics, toxins, heavy, metals, organochlorides, PCBs, PBDEs, pharmaceuticals, pesticides, herbicides, cadmium, mercury, lead, silver, copper, organics, oil, biological, contaminant, red tide, bacteria, point, non-point, TMDL, total maximum daily load, pollution, poisoning, MCL, maximum contaminant level, EPA, fines, silts, substrate, soils","6",,"&lt;none&gt;","0 comments, 0 replies"
"13","Contaminants/Toxics/Pollutants","Concentration: Tissue","A cell or tissue sample to determine the contaminant concentration in tissue samples of a species.","pharmaceutical, toxics, toxins, heavy, metals, organochlorides, PCBs, PBDEs, pesticides, herbicides, cadmium, mercury, lead, silver, copper, organics, oil, biological, contaminant, red, tide, bacteria, domoic, acid, endocrine disrupters, drugs, E. coli
","3",,"&lt;none&gt;","0 comments, 0 replies"
