"Site Name","Event Name","Lat","Long","Date","State","County","Category","Protocol","Protocol Url","Study Plan","Study Plan Url","Program","Program Url","Organization","Organization Url","URL","Data Provider"
"MET201301-Stansbury Side","Hitch #6 (RM): Sept 4 to Sept 11 (Methow)","48.53459","-120.32409","2013-09-14T17:00:00","Washington","Okanogan County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Methow Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v2.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"JDW00001-Upper Owens D","Bridge Creek IMW","44.58022","-120.17861","2013-11-19T08:09:00","Oregon","Wheeler County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - John Day Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v2.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"WEN00001-Pioneer_Control","Tt Pioneer","47.52419","-120.47497","2013-09-12T08:51:00","Washington","Chelan County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"TET00001-YakimaBillys_Control","Tt Hitch#1","46.56863","-120.46629","2013-06-20T09:00:00","Washington","Yakima County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"Stky-P5-Ex3","Starkey Exclosures","45.28312","-118.6019","2013-07-17T09:46:00","Oregon","Union County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"Stky-P2-Cntrl","Starkey Exclosures","45.26803","-118.52577","2013-07-23T11:47:00","Oregon","Union County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"WAM06600-001556","","48.090744","-123.472647","2009-05-05T00:00:00","Washington","Clallam County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"Stky-P3-Ex2","Starkey Exclosures","45.26856","-118.54294","2014-07-28T09:20:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"Stky-P3-Ex3","ODFW Starkey Sites","45.26664","-118.54502","2017-07-11T12:08:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"Stky-P2-Cntrl","ODFW Starkey Sites","45.26803","-118.52577","2017-07-12T11:53:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"JDW00001-Juniper Canyon A","Bridge Creek IMW","44.62327","-120.21337","2013-11-16T09:00:00","Oregon","Wheeler County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - John Day Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v2.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"Stky-P5-Ex2","Starkey Exclosures","45.28318","-118.60066","2013-07-16T14:29:00","Oregon","Union County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"Stky-P2-Ex1","Starkey Exclosures","45.26594","-118.5228","2014-07-17T08:31:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"Stky-P3-Ex2","ODFW Starkey Sites","45.26856","-118.54294","2017-07-11T14:15:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"JDW00001-Pats Cabin B","Bridge IMW 2014","44.68931","-120.28188","2014-11-03T08:49:00","Oregon","Wheeler County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - John Day Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"WAM06600-001233","","45.858885","-122.633034","2017-03-16T08:27:55","Washington","Clark County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"Clackamas Skyline","","45.090833","-121.753436","2019-04-30T10:44:21","Oregon","Clackamas County","Fish","Annual Age-0 White Sturgeon Recruitment Indexing","","Nadine-ODFW ","","Oregon Department of Fish and Wildlife (ODFW)","http://www.dfw.state.or.us/"," Weiser River SCD","https://www.monitoringresources.org/Resources/Organization/Detail/3842","https://nrimp.dfw.state.or.us/DataClearinghouse/default.aspx?p=1","MonitoringResources.org"
"TET00001-Nason_Control","Tt Nason Hitch","47.7613","-120.73641","2013-06-18T14:30:00","Washington","Chelan County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"Stky-P5-Ex1","Starkey Exclosures","45.2829","-118.59865","2013-07-16T09:52:00","Oregon","Union County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"Stky-P3-Ex1","Starkey Exclosures","45.26908","-118.54206","2013-07-17T08:50:00","Oregon","Union County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"WAM06600-000543","","47.948293","-121.428731","2017-03-15T13:52:16","Washington","Snohomish County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-002561","","45.675613","-122.462216","2017-03-16T08:22:56","Washington","Clark County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WEN00001-Pioneer_Impact","Tt Pioneer","47.49358","-120.42111","2013-09-11T09:00:00","Washington","Chelan County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"TET00001-YakimaBillys_Impact","Tt Hitch#1","46.57128","-120.46918","2013-06-19T09:00:00","Washington","Yakima County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"TET00001-Eschbach_Impact","Tt Hitch#3","46.67647","-120.64901","2013-07-08T10:30:00","Washington","Yakima County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","Action Effectiveness Monitoring BPA – MBACI Protocol for Monitoring the Effectiveness of Partial Barrier Projects v1.0","","BPA's Action Effectiveness Monitoring (AEM) Program ","","Tetra Tech","https://www.monitoringresources.org/Resources/Organization/Detail/32","","ChampMonitoring.org"
"Settle Lake outlet","","44.426894","-121.72594","2018-01-30T17:28:14","Oregon","Jefferson County","Fish","CTWS RM&E - Determine fate of O. nerka in lower Lake Creek by snorkel observation and sampling using fyke nets and electrofishing","","CTWS RM&E - Determine the fate of O. nerka outmigrants in lower Lake Creek, Metolius Subbasin","","Confederated Tribes of the Warm Springs RO RM&E","https://warmsprings-nsn.gov/program/fisheries-department/","Warm Springs Tribe","https://www.monitoringresources.org/Resources/Organization/Detail/8","http://gisctws.maps.arcgis.com/home/index.html","MonitoringResources.org"
"Stky-P3-Ex1","Starkey Exclosures","45.26908","-118.54206","2014-07-24T09:21:00","Oregon","Union County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Upper Grande Ronde Scientific Protocol for Salmonid Habitat ODFW","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ODFW","https://www.monitoringresources.org/Resources/Organization/Detail/23","","ChampMonitoring.org"
"ENT201301-3D Side","Hitch #6 (SD): Sept 4 to Sept 11 (Entiat)","47.89149","-120.44823","2013-09-07T09:02:00","Washington","Chelan County","Classification of Ecological or Geological Attribute, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - Entiat Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v2.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"YFI00001-002166","SBT Snorkeling","44.36576","-114.72739","2014-08-13T10:40:00","Idaho","Custer County","Fish","BPA – MBACI Protocol for Estimating Instream Juvenile Salmonid Abundance","","CHaMP - Yankee Fork Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Watershed Solutions","https://www.monitoringresources.org/Resources/Organization/Detail/158","","ChampMonitoring.org"
"YFI00001-000851","SBT Snorkeling","44.37752","-114.72128","2014-09-17T16:45:00","Idaho","Custer County","Fish","BPA – MBACI Protocol for Estimating Instream Juvenile Salmonid Abundance","","CHaMP - Yankee Fork Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Watershed Solutions","https://www.monitoringresources.org/Resources/Organization/Detail/158","","ChampMonitoring.org"
"YFI00001-000835","YF 2014 sites","44.36218","-114.7291","2014-08-08T10:58:00","Idaho","Custer County","Classification of Ecological or Geological Attribute, Climate/Weather, Disturbance/Restoration, Fish, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects Plus CHaMP 2014 Methods","","CHaMP - Yankee Fork Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Watershed Solutions","https://www.monitoringresources.org/Resources/Organization/Detail/158","","ChampMonitoring.org"
"YFI00001-000133","SBT Snorkeling","44.33472","-114.72303","2014-07-09T11:14:00","Idaho","Custer County","Fish","BPA – MBACI Protocol for Estimating Instream Juvenile Salmonid Abundance","","CHaMP - Yankee Fork Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Watershed Solutions","https://www.monitoringresources.org/Resources/Organization/Detail/158","","ChampMonitoring.org"
"JDW00001-Sunflower C","ELR Bridge Hitch_14","44.70801","-120.29379","2015-10-22T15:22:00","Oregon","Wheeler County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - John Day Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"JDW00001-Mazama 4","Bridge Creek RTK","44.63748","-120.23113","2016-10-30T15:09:00","Oregon","Wheeler County","Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP)","","CHaMP - John Day Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","ELR","https://www.monitoringresources.org/Resources/Organization/Detail/9","","ChampMonitoring.org"
"ENT00001-2C10","hitch_all_Aug6toend_Entiat","47.83752","-120.41694","2014-09-03T11:00:00","Washington","Chelan County","Classification of Ecological or Geological Attribute, Climate/Weather, Disturbance/Restoration, Fish, Hydrology/Water Quantity, Landscape Form and Geomorphology, Macroinvertebrates, Other, Sediment/Substrate/Soils, Vegetation/Plants, Water Quality","BPA MBACI Protocol for Monitoring the Effectiveness of Off-Channel Habitat / Floodplain Enhancement Projects Plus CHaMP 2014 Methods","","CHaMP - Entiat Watershed Habitat Monitoring Scientific Protocol for Salmonid Habitat Surveys within the Columbia Habitat Monitoring Program (CHaMP) v4.0","","CHaMP (Columbia Habitat Monitoring Program)","http://www.champmonitoring.org/","Terraqua","https://www.monitoringresources.org/Resources/Organization/Detail/54","","ChampMonitoring.org"
"WAM06600-000430","","47.245745","-123.120851","2009-04-14T00:00:00","Washington","Mason County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-001320","","48.36831","-122.461084","2009-03-15T13:35:04","Washington","Skagit County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-000660","","48.127515","-123.157886","2017-03-15T13:52:31","Washington","Clallam County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
"WAM06600-001556","","48.090744","-123.472647","2017-03-15T13:52:49","Washington","Clallam County","","2012 Status and Trends Stormwater Monitoring and Assessment Strategy for Small Streams","","","","(EAP) Environmental Assessment Program","http://www.ecy.wa.gov/programs/eap/index.html","WA ECY","https://www.monitoringresources.org/Resources/Organization/Detail/63","http://www.ecy.wa.gov/programs/eap/fw_riv/rv_main.html","MonitoringResources.org"
