metric_title,protocol_title,method_title_list
"""Abundance of Fish""","""Genetic assignment methods for Snake River sockeye salmon""","[""SNP genotyping using Genotyping in Thousands (GT-seq) on Illumina Sequencer platform v1.0"", ""O. mykiss and O. tshawytscha SNP marker sets for PBT and GSI use in the Columbia River basin v1.0"", ""Assigning individual samples using Individual Assignment (IA) genetic methods v1.0"", ""Parentage assignments using SNPPIT software v1.0"", ""Nexttec 96-Well Tray DNA Extraction Kit Protocol v1.0""]"
"""Abundance of Fish""","""Dworshak Reservoir Kokanee Spawner Surveys""","[""Calculation of Wild Kokanee Egg-to-Fry survival v1.0"", ""Calculation of Mature Female Kokanee and Potential Egg Deposition v1.0"", ""Fish wet weight v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Measuring Fish Length: Mid-orbital hypural length v1.0"", ""Measuring fecundity and mean ova weight in salmonids v1.0"", ""Kokanee Spawner Counts v1.0"", ""Determining adult anadromous salmonid gender. v1.0""]"
"""Abundance of Fish""","""Spatial Stream Networks for Anadromous Fish Abundance and Distribution""","[""Spatial Stream Network (SSN) block-krige estimation for salmonid abundance v1.0""]"
"""Abundance of Fish""","""IDFG Snorkel Surveys for Wild Chinook Salmon and Steelhead Parr in the Clearwater and Salmon River Basins.""","[""Estimate Parr Densities From Snorkel Surveys v1.0"", ""Length Frequency Distribution of Catch v1.0"", ""Locating and establishing the start of the survey v1.0"", ""Deployment and Recovery of Water Temperature Data Loggers in Rivers and Streams v1.0"", ""Basic Snorkel Survey Procedures v1.0"", ""Estimating Instream Juvenile Salmonid Abundance Using Snorkeling with Binned Counts v2.0"", ""Measuring Wetted Width (Abridged Version From Characterizing Stream Morphology For Determining Area) v1.0"", ""Estimate detection probability to describe precision of anadromous parr counts from snorkel surveys. v1.0"", ""Fish Capture-Angling v1.0"", ""Marking, Tagging and Sampling Target Species v1.0"", ""Physical Habitat: Substrate Size and Channel Dimensions v1.0"", ""Estimate occupancy to describe spatial structure of anadromous parr from snorkel surveys. v1.0"", ""Electrofishing - Site Selection v1.0"", ""Estimating Fish Total Length Underwater v1.0""]"
"""Abundance of Fish""","""KRRFM - Juvenile White sturgeon recruitment and evaluation""","[""River Juvenile sturgeon gillnetting v1.0"", ""Cormack-Jolly-Seber (CJS) Model v1.0"", ""PIT tag marking procedures v1.0"", ""Juvenile sturgeon survival analysis v1.0"", ""Tissue Analysis- spine and fin rays v1.0"", ""Analysis of Variance Models v1.0"", ""Fulton's Fish Condition Factor v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Fish wet weight v1.0"", ""Tissue Sampling - spines & fin rays v2.0""]"
"""Abundance of Fish""","""WDFW / YKFP: Ecological Interactions: Non-Target Taxa of Concern Monitoring""","[""Electrofishing - Drift Boat - Recapture v1.0"", ""Electrofishing - Determine Electrofisher Settings v1.0"", ""Stream Discharge - Velocity-area method & alternates v1.0"", ""Electrofishing - Fish Processing and Recovery v1.0"", ""Electrofishing - Backpack - Recapture v1.0"", ""Electrofishing - Drift Boat - Mark v1.0"", ""Characterizing Stream Morphology and In-Stream Habitat - Thalweg Profile v1.0"", ""Electrofishing - Site Selection v1.0"", ""Electrofishing - Backpack - Mark v1.0""]"
"""Abundance of Fish""","""Northern Pike Gill Net Suppression""","[""Gill Netting v1.0""]"
"""Abundance of Fish""","""Redband Trout Stock Assessment- Tributaries""","[""PIT tag marking procedures v2.0"", ""Fulton's Fish Condition Factor v1.0"", ""Emigration Trapping (using rotary screw traps) v1.0"", ""Rotary Screw Trap-Efficiency Trial v1.0"", ""Estimate outmigration in small streams v1.0"", ""Calculating the smolt to adult return rate (SAR) v1.0"", ""Rotary Screw Trap-Fish Count By Species Group v1.0"", ""Natural Spawner Abundance v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Electrofishing - Backpack - Mark v1.0"", ""Spawning Survey-Spawners v1.0"", ""Scale Ageing v1.0"", ""Adult Trap Fish Processing v1.0"", ""Adult Run Timing v1.0"", ""Growth Rate for Individual Fish v1.0"", ""Electrofishing - Backpack - Recapture v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Estimating Adult Spawner Abundance v1.0"", ""Juvenile Emigration Timing v1.0"", ""Calculating rate of downstream movement for individually identifiable tagged fish v1.0"", ""Weirs v1.0"", ""Adult Sex Ratio v1.0"", ""Multiple pass removal/depletion backpack electrofishing v1.0"", ""Obtaining scales from juvenile steelhead and Chinook salmon v1.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0""]"
"""Abundance of Fish""","""Estimating Adult Summer Steelhead Escapement in North East Oregon using GRTS-based Surveys""","[""Assessing adipose-fin 'mark' in salmon carcasses v1.0"", ""Adult Sex Ratio v1.0"", ""Expanded steelhead at each site v2.0"", ""Measuring Fish Length: Mid-orbital hypural length v1.0"", ""Redd Count Survey v1.0"", ""Percent Hatchery Origin Spawners (pHOS) v1.0"", ""Sample (Site) Weight v1.0"", ""Natural Origin Spawner Abundance (NOSA) Calculation v1.0"", ""Total Spawner Abundance (TSA) - Using GRTS Surveys v1.0"", ""Fish per redd v1.0"", ""Expanded steelhead at each site v1.0"", ""Determining adult anadromous salmonid gender. v1.0"", ""Spawning Ground Carcass Processing v1.0""]"
"""Abundance of Fish""","""Factors limiting production of Okanagan and Wenatchee sockeye stocks (2008-503-00)""","[""Downloading PIT tag observation data from PTAGIS v1.0"", ""Estimate migration rate between PIT tag sites v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Fin tissue sampling for genetic analysis v1.0"", ""Juvenile Salmon Detection using a floating PIT barge with fins v1.0"", ""DIDSON Escapement Estimation v1.0"", ""Estimate escapement using detections of fish PIT tagged as adults v1.0"", ""Scale sampling adult steelhead and salmon v1.0"", ""Adult salmonid trapping at Bonneville Dam Adult Fish Facility (AFF) v1.0"", ""Estimate passage time at a dam using PIT tags v1.0"", ""Estimation of night passage using PIT tags v1.0"", ""Measuring Fish Length: Fork length v1.0"", ""Estimation of age composition at upstream locations using PIT tags v1.0""]"
"""Abundance of Fish""","""Okanogan Adult Temporary Weir Operations (2003-023-00)""","[""Water Quality Measurements Within a Weir Trap with a Hanna Multimeter v1.0"", ""Underwater Video Fish Enumeration v1.0"", ""Assessing the Effects of Okanogan Weir Operations on Adult Salmon v1.0"", ""Fish Health Assessment at a Weir v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Weir Maintenance v1.0"", ""Adult Weir Tower and Bank Observations v1.0"", ""Adult Weir Trap Fish Processing v1.0"", ""Water Velocity Measurements Surrounding and Within a Weir Trap with a Rickly Price-Type AA Current Meter v1.0"", ""Weir Boat Surveys v1.0"", ""Calculate Effectiveness of an Adult Chinook Temporary Weir v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""Measuring Fish Length: Post-orbital hypural length v1.0"", ""Turbidity Measurements at a Weir with an Oakton Meter v1.0"", ""Measuring Head Differential Across a Picket Weir v1.0"", ""Calculate Efficiency of the Okanogan Adult Temporary Weir v1.0"", ""Anchor (T-bar) tagging v1.0""]"
"""Abundance of Fish""","""Nez Perce Tribe Adult Weir Data Collection""","[""Gear Disinfection Procedures v1.0"", ""Adult Weir Operation v1.0""]"
"""Abundance of Fish""","""YRWP Juvenile steelhead outmigration (1996-035-01)""","[""Trap Efficiency Testing v1.0"", ""Rotary Screw Trap Mark-Recapture Salmonid Outmigration Abundance Estimate v1.0"", ""Rotary Screw Trap Deployment and Operation v1.0"", ""Fish wet weight v1.0"", ""PIT tag marking procedures v1.0"", ""Cormack-Jolly-Seber (CJS) Model v1.0"", ""Measuring Fish Length: Fork length v2.0""]"
"""Abundance of Fish""","""Environmental DNA (eDNA) monitoring for spring-Chinook in the Okanogan Basin""","[""Environmental DNA (eDNA) Extraction from Filters Using the Qiagen DNeasy Kit v1.0"", ""Quantitative polymerase chain reaction (qPCR) analysis of environmental DNA (eDNA) samples using the Chinook (Ots) assay from Laramie et al 2015 v1.0"", ""Environmental DNA (eDNA) Sampling — Filtering Water to Capture DNA from Aquatic Organisms v1.0""]"
"""Abundance of Fish""","""Okanogan Basin Monitoring & Evaluation Program - Juvenile Abundance - Mark-Recapture""","[""Electrofishing - Backpack - Mark v1.0"", ""Estimate outmigration in small streams v1.0"", ""Electrofishing - Fish Processing and Recovery v1.0"", ""PIT tag marking procedures v1.0"", ""Estimate abundance of juvenile salmonids in small streams v1.0"", ""Instream PIT tag detection array v1.0"", ""Electrofishing - Backpack - Recapture v1.0""]"
"""Abundance of Fish""","""Walked Tributary Stream Salmonid Spawning Grounds Surveys""","[""Spawning Ground Carcass Coded Wire Tag (CWT) Scanning v1.0"", ""Redd Count Survey v1.0"", ""Estimate predator abundance v1.0"", ""Density Analysis and Mapping of Redds v1.0"", ""Spawning Survey-Redds v1.0"", ""Anchor (T-bar) tagging v1.0"", ""Scale Processing for Age v1.0"", ""Spawning Ground Carcass Processing v1.0"", ""Natural Spawner Abundance v1.0"", ""Spawning Ground Carcass PIT-tag Scanning v1.0"", ""Spawning Ground Survey GPS Use v1.0"", ""Estimation of Hatchery Strays v1.0"", ""Redd Count Ground Surveys v1.0""]"
"""Abundance of Fish""","""LPO Rainbow Trout Population Assessment (1994-047-00) Interim Protocol""","[""Fish wet weight v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Sagittal Otolith Ageing v1.0"", ""Angler Incentive Program v1.0"", ""Population Estimate Analysis-Chapman Modification of Petersen Index v1.0"", ""Collecting Sagittal Otoliths for Ageing v1.0"", ""Growth Rate Calculation v1.0"", ""Calculation of Relative Weight v1.0""]"
"""Abundance of Fish""","""KRRFM – Native Species Population Monitoring and Evaluation""","[""Electrofishing - Drift Boat - Mark v1.0"", ""Mark-Recapture Estimates from Snorkeling Data v1.0"", ""Electrofishing - Drift Boat - Recapture v1.0"", ""Measuring Fish Length: Total length v1.0"", ""Adipose Fin Clip v1.0"", ""Boat Electrofishing v1.0"", ""Proportional Size Distribution (PSD) v1.0""]"
"""Abundance of Fish""","""South East Washington Weir Operation (WDFW)""","[""Identifying Marks/Tags on Fish v1.0"", ""Adult Run Timing v1.0"", ""Redd Count Survey v1.0"", ""Weirs v1.0"", ""Carcass tissue sampling - fin tissue for genetic analysis v1.0"", ""Carcass Count: Tags and markers v1.0"", ""Estimation of Hatchery Strays v1.0"", ""Carcass Count: Mark-Recapture Analysis v1.0"", ""Estimate Steelhead Abundance at Weirs Using Kelts as Recaptures v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Obtaining scale samples from adult steelhead and salmon v1.0""]"
"""Abundance of Fish""","""Annual Summer/Fall Chinook Carcass Surveys""","[""Estimate Adult Chinook Pre-Spawn Mortality v1.0"", ""Measuring Fish Length: Post-orbital hypural length v1.0"", ""Total Spawner Abundance (TSA)- Using Index Surveys v1.0"", ""Adult Sex Ratio v1.0"", ""Calculating the Rate of Okanogan River In-to-Basin Summer/Fall Hatchery-origin Stray Chinook v1.0"", ""Carcass Count: Scale Sampling v1.0"", ""Determining adult anadromous salmonid gender. v1.0"", ""Calculating the smolt to adult return rate (SAR) v1.0"", ""Float surveys for salmon carcasses v1.0"", ""Natural Origin Spawner Abundance (NOSA) Calculation v1.0"", ""Percent Hatchery Origin Spawners (pHOS) v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Carcass Count: Survey v1.0"", ""Analysis of salmonid sex ratios v1.0"", ""Spawning Ground Carcass PIT-tag Scanning v1.0"", ""Assessing adipose-fin 'mark' in salmon carcasses v1.0"", ""Spawning Ground Carcass Coded Wire Tag (CWT) Scanning v1.0"", ""Carcass tissue sampling - fin tissue for genetic analysis v1.0"", ""Determine Adult Chinook Carcass Egg Retention v1.0""]"
"""Abundance of Fish""","""Lake Roosevelt White Sturgeon - Setline Stock Assessment""","[""Tissue Sampling - spines & fin rays v2.0"", ""Fish sampling with setlines v1.0"", ""PIT tag marking procedures v1.0"", ""Fulton's Fish Condition Factor v1.0"", ""Abundance Estimation of Fish Using Multiple Mark and Recapture Data v1.0"", ""Scute Marking Sturgeon v1.0"", ""Fish wet weight v1.0"", ""Fin tissue sampling for genetic analysis v1.0"", ""Identifying Marks/Tags on Fish v1.0"", ""White Sturgeon Catch Processing v1.0"", ""Measuring Fish Length: Fork length v2.0"", ""Von Bertalanffy Age and Growth Modeling v1.0""]"
